x,y,z
-0.191944,0.399553,0.683006
-0.130083,-0.470336,0.32636
-0.188562,0.145768,0.0530671
-0.188549,0.0703966,0.449478
-0.243029,-0.192786,0.311027
-0.152312,0.290999,0.28603
-0.175256,0.162417,0.667146
-0.287693,0.117296,0.258503
-0.204415,0.275034,0.48841
-0.0712273,0.103154,0.286142
-0.180296,0.465444,0.503056
-0.115546,-0.065785,0.342008
-0.117173,-0.303064,0.319545
-0.27207,-0.467607,0.405263
-0.0737891,0.215088,0.413614
-0.309843,0.17188,0.416307
-0.227449,0.226314,0.173011
-0.160681,0.0805592,0.177015
-0.244104,-0.0108588,0.349514
-0.237165,-0.371734,0.309743
-0.279998,0.248706,0.305396
-0.130895,0.154594,0.538219
-0.161521,0.284106,0.618595
-0.175822,0.513764,0.625111
-0.103302,0.192886,0.183279
-0.115968,-0.182767,0.316759
-0.130246,-0.467315,0.444943
-0.245463,0.16476,0.521198
-0.0879506,0.0970874,0.399767
-0.196776,0.0825566,0.591512
-0.198337,0.373429,0.564446
-0.172174,0.0555678,0.283134
-0.0641517,0.211784,0.290445
-0.253185,0.125763,0.148494
-0.223012,0.285778,0.38496
-0.275221,0.0829109,0.377797
-0.225223,-0.465739,0.321364
-0.223379,-0.103015,0.338185
-0.113172,0.131069,0.108697
-0.110539,0.238105,0.49713
-0.126486,0.283639,0.377311
-0.132525,0.0224445,0.364352
-0.225956,-0.281926,0.325954
-0.123471,-0.387016,0.306699
-0.317818,0.168692,0.332274
-0.221811,0.269962,0.2442
-0.164829,0.433032,0.611716
-0.15971,0.207208,0.125368
-0.255319,0.0583657,0.303391
-0.261982,0.112721,0.461719
-0.120893,0.097696,0.481575
-0.048077,0.160437,0.361716
-0.280283,0.198221,0.243954
-0.272514,0.227771,0.458663
-0.222567,0.0867583,0.226411
-0.174029,0.220759,0.540197
-0.102834,0.120992,0.214474
-0.154579,0.247601,0.211076
-0.204203,0.219318,0.621206
-0.202464,0.0547276,0.369364
-0.167604,0.471858,0.688986
-0.19632,-0.466356,0.406216
-0.284977,0.240162,0.37948
-0.218038,0.0949049,0.522802
-0.182478,0.327964,0.674307
-0.20737,0.496256,0.562144
-0.186811,0.0985997,0.107206
-0.0907222,-0.464012,0.385605
-0.230354,0.184657,0.115228
-0.0783145,0.159263,0.457352
-0.1677,0.395748,0.504265
-0.195426,0.147647,0.566247
-0.192887,0.304452,0.560678
-0.219006,0.463452,0.643244
-0.215727,0.29421,0.312263
-0.0978318,0.269338,0.317568
-0.152993,0.126693,0.616092
-0.149161,0.0913309,0.541058
-0.144152,0.279405,0.459147
-0.112453,0.0589517,0.309182
-0.0663856,0.15984,0.248984
-0.136114,-0.242894,0.321462
-0.279676,0.149201,0.200514
-0.303787,0.106164,0.318217
-0.242046,0.228997,0.513106
-0.132606,-0.125272,0.335217
-0.0999058,0.248716,0.257816
-0.144078,0.0826108,0.234662
-0.144597,0.0690307,0.408938
-0.279113,0.169141,0.471702
-0.155102,0.470384,0.55573
-0.179873,0.112227,0.00638093
-0.0681766,0.0980957,0.343584
-0.197687,0.428387,0.543661
-0.208135,0.131806,0.631024
-0.146444,-0.459775,0.379545
-0.0747252,0.238908,0.358715
-0.0506898,0.151363,0.303427
-0.150909,0.170011,0.0851457
-0.312402,0.123932,0.369299
-0.214341,0.0854992,0.168581
-0.228689,0.126679,0.083925
-0.157342,0.19246,0.625889
-0.159483,0.340994,0.582867
-0.108971,0.261311,0.423468
-0.098342,0.143816,0.163341
-0.307031,0.163848,0.275149
-0.230861,0.0739245,0.40989
-0.17258,0.296888,0.354597
-0.184285,0.288099,0.420993
-0.144479,0.473205,0.639405
-0.0969116,0.184388,0.499294
-0.206579,0.412153,0.634441
-0.256797,0.0392312,0.353886
-0.227763,-0.467265,0.447425
-0.115535,0.181489,0.131466
-0.100705,0.0628414,0.36348
-0.246218,0.264851,0.425722
-0.258925,0.270905,0.347689
-0.201893,0.263434,0.595796
-0.172105,0.237125,0.164661
-0.149225,0.117067,0.0671537
-0.15572,0.427556,0.661324
-0.0611709,0.152486,0.410343
-0.233488,-0.460263,0.372712
-0.29106,0.114352,0.413938
-0.179257,0.348197,0.525344
-0.26001,0.197655,0.19769
-0.161081,0.262351,0.509627
-0.167336,0.243174,0.646205
-0.159954,0.0476624,0.330642
-0.245166,-0.147349,0.330566
-0.225117,-0.416579,0.326773
-0.133255,0.0980857,0.139839
-0.242314,-0.240951,0.301514
-0.209415,0.0475879,0.321327
-0.166707,0.0787013,0.497144
-0.162664,0.513166,0.577954
-0.239669,-0.0593589,0.352612
-0.304187,0.207054,0.306643
-0.199809,0.46177,0.596031
-0.255251,0.173896,0.156456
-0.255506,0.236359,0.229931
-0.129056,0.208637,0.52951
-0.239853,-0.327169,0.325594
-0.177726,0.361567,0.707282
