40×12 DataFrame
 Row │ filter  refiner  len    exp      nodes  edges  comps  tips   branch  singles  biggest  score
     │ String  String   Int64  Float64  Int64  Int64  Int64  Int64  Int64   Int64    Int64    Int64
─────┼──────────────────────────────────────────────────────────────────────────────────────────────
   1 │ pc1     DB2         18      0.5     45     63      5     12      21        3      344     46
   2 │ pc1     DB2         18      0.3     41     52      5     12      17        3      319     38
   3 │ ecc     DB2         14      0.5     47     53      7     25      12        5      881     37
   4 │ pc1     DB2         14      0.5     38     44      6     15      14        2      459     35
   5 │ pc1     DB2         14      0.3     36     46      5     11      14        2      417     32
   6 │ ecc     DB2         14      0.3     43     47      8     22      10        6      802     28
   7 │ ecc     DB2         18      0.5     41     49      4     15      11        6      671     27
   8 │ pc1     DB2         10      0.5     30     33      6     13      10        2      665     25
   9 │ pc1     DB2         10      0.3     26     28      6      9      10        2      594     21
  10 │ pc1     DB3         14      0.5     24     26      4      5      11        4      475     19
  11 │ ecc     DB3         18      0.5     27     31      4      6      11        5      717     19
  12 │ ecc     DB2         18      0.3     39     41      7     13      10        7      605     19
  13 │ ecc     DB4         14      0.5     21     23      4      5      11        6      967     17
  14 │ ecc     DB2         10      0.5     25     27      6      9       8        3     1044     16
  15 │ pc1     DB3         10      0.5     19     19      3      6       8        4      698     15
  16 │ pc1     DB3         14      0.3     23     23      5      4      10        4      430     15
  17 │ pc1     DB3         18      0.5     31     32      4      6      10        7      368     15
  18 │ ecc     DB3         14      0.3     22     22      5      7       9        5      876     15
  19 │ pc1     DB3         18      0.3     29     29      4      6       9        6      324     14
  20 │ ecc     DB3         14      0.5     21     23      4      6       9        6      967     14
  21 │ ecc     DB4         18      0.5     26     26      4      7       8        5      717     14
  22 │ pc1     DB3         10      0.3     16     16      3      4       7        3      621     12
  23 │ ecc     DB3         18      0.3     27     24      5     10       6        6      640     11
  24 │ ecc     DB3         10      0.3     17     15      5      5       6        3     1119      9
  25 │ ecc     DB3         10      0.5     15     14      4      4       6        3     1216      9
  26 │ ecc     DB4         14      0.3     22     21      5      5       7        5      876      9
  27 │ ecc     DB2         10      0.3     26     24      8      8       6        3      958      9
  28 │ pc1     DB4         18      0.3     28     25      5      8       6        8      325      7
  29 │ pc1     DB4         18      0.5     29     27      3      8       5        9      370      6
  30 │ ecc     DB4         10      0.3     16     14      4      4       4        3     1119      5
  31 │ ecc     DB4         18      0.3     25     20      6      8       4        6      640      4
  32 │ pc1     DB4         10      0.3     16     13      3      7       3        7      623      3
  33 │ pc1     DB4         10      0.5     16     12      4      8       2        6      700      2
  34 │ pc1     FEB10       18      0.5     22     18      4      8       3        8      370      2
  35 │ ecc     DB4         10      0.5     16     14      4      3       3        3     1216      2
  36 │ pc1     FEB20       18      0.5     31     25      6     15       4       16      370      1
  37 │ pc1     FEB10       18      0.3     21     17      4      7       2        7      325      0
  38 │ ecc     FEB10       14      0.5     16     12      4      6       2        6      967      0
  39 │ pc1     FEB20       10      0.5     18     14      4      9       2       10      700     -1
  40 │ pc1     DB4         14      0.5     19     14      5      5       2        5      476     -1

── configs with >=2 branch points, <=2 components ──
0×12 DataFrame
 Row │ filter  refiner  len    exp      nodes  edges  comps  tips   branch  singles  biggest  score
     │ String  String   Int64  Float64  Int64  Int64  Int64  Int64  Int64   Int64    Int64    Int64
─────┴──────────────────────────────────────────────────────────────────────────────────────────────
